StartTime,FinishTime,Status,Error,CT,Barcode,ProductType,Description,SPC,SPCMIN,SPCMAX,SPEC,,SPC,SPEC,RawUp,RawDown,RawUpSTATUS,RawDownSTATUS,RawUpGT,RawDownGT,
20181103-153935,20181103-153935,NONE,,0.00,CORR TEST START,,,SPC,SPC MIN,SPC MAX,SPEC,,SPC,SPCMIN,SPCMAX,SPEC,RawUp,RawDown,RawUpSTATUS,RawDownSTATUS,RawUpGT,RawDownGT,
20181103-160342,20181103-160428,NG,|下表面轮廓度 -6.211 超差|,46.19,,A117NoFin,LeftStation,SPC,-10.678,0.184,0.004,-6.211,-0.032,5.293,SPC MIN,-10.678,-10.640,-0.002,-6.211,-0.056,5.104,SPC MAX,-10.462,-10.456,0.002,-6.035,-0.032,5.293,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.678,0.184,0.004,-6.211,-0.032,5.293,SPCMIN,-10.678,-10.640,-0.002,-6.211,-0.056,5.104,SPCMAX,-10.462,-10.456,0.002,-6.035,-0.032,5.293,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.438,-10.558,-10.519,-10.446,-10.354,-10.484,-10.445,-10.385,RawDown,5.373,5.360,5.293,5.224,-6.095,-6.042,-5.972,0.054,0.102,0.092,0.088,0.042,-5.964,0.046,0.087,0.104,-5.935,0.071,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.508,2.638,2.469,2.387,2.399,2.534,2.418,2.354,RawDownGT,2.196,2.230,1.896,1.781,2.334,2.426,2.568,2.107,2.685,2.704,2.684,2.123,2.687,2.224,2.728,2.733,2.677,2.221,
20181103-160431,20181103-160517,NG,|下表面轮廓度 -6.209 超差|,46.52,,A117NoFin,LeftStation,SPC,-10.676,0.183,0.004,-6.209,-0.032,5.292,SPC MIN,-10.676,-10.638,-0.002,-6.209,-0.057,5.105,SPC MAX,-10.462,-10.456,0.001,-6.035,-0.032,5.292,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.676,0.183,0.004,-6.209,-0.032,5.292,SPCMIN,-10.676,-10.638,-0.002,-6.209,-0.057,5.105,SPCMAX,-10.462,-10.456,0.001,-6.035,-0.032,5.292,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.438,-10.557,-10.519,-10.442,-10.352,-10.480,-10.448,-10.386,RawDown,5.371,5.360,5.296,5.224,-6.093,-6.040,-5.971,0.053,0.102,0.092,0.088,0.041,-5.963,0.047,0.087,0.104,-5.935,0.069,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.509,2.637,2.470,2.383,2.397,2.530,2.421,2.354,RawDownGT,2.194,2.230,1.899,1.781,2.336,2.428,2.569,2.106,2.685,2.704,2.684,2.122,2.688,2.225,2.729,2.732,2.677,2.220,
20181103-174710,20181103-175107,ERROR,GeometryCalcError,236.76,,VaporChamber,LeftStation,A117VC,SPC,0.000,0.000,0.000,0.000,0.000,0.000,SPC MIN,0.000,0.000,0.000,0.000,0.000,0.000,SPC MAX,0.000,0.000,0.000,0.000,0.000,0.000,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,0.000,0.000,0.000,0.000,0.000,0.000,SPCMIN,0.000,0.000,0.000,0.000,0.000,0.000,SPCMAX,0.000,0.000,0.000,0.000,0.000,0.000,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-7.930,-7.920,-8.050,-8.059,-7.955,-7.950,-8.027,-8.032,RawDown,3.174,3.127,3.393,3.440,-8.437,-8.467,-8.539,-2.060,-2.582,-2.612,-2.595,-2.088,-8.650,-2.185,-2.641,-2.628,-8.611,-2.157,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,RawDownGT,-0.004,-0.004,-0.004,-0.004,-0.009,0.001,0.001,-0.007,0.001,0.001,0.001,-0.007,0.001,-0.007,0.001,0.001,0.001,-0.007,
20181103-175215,20181103-175446,NG,上表面轮廓度 -5.621 超差|上表面平行度 0.340 超差|内螺柱轮廓度 0.488 超差|外螺柱轮廓度 5.821 超差|,150.54,,VaporChamber,LeftStation,A117VC,SPC,-5.621,0.340,0.000,-6.018,0.488,5.821,SPC MIN,-5.621,-5.621,0.000,-6.018,0.488,5.821,SPC MAX,-5.281,-5.281,0.000,-6.000,0.488,5.821,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-5.621,0.340,0.000,-6.018,0.488,5.821,SPCMIN,-5.621,-5.621,0.000,-6.018,0.488,5.821,SPCMAX,-5.281,-5.281,0.000,-6.000,0.488,5.821,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-7.930,-7.920,-8.050,-8.059,-7.955,-7.950,-8.027,-8.032,RawDown,3.173,3.126,3.392,3.439,-8.446,-8.467,-8.539,-2.060,-2.582,-2.611,-2.595,-2.088,-8.650,-2.185,-2.640,-2.627,-8.611,-2.158,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,RawDownGT,-0.005,-0.005,-0.005,-0.005,-0.017,0.001,0.001,-0.008,0.001,0.001,0.001,-0.008,0.001,-0.008,0.001,0.001,0.001,-0.008,
20181103-190403,20181103-190506,NG,上表面轮廓度 -5.620 超差|上表面平行度 0.340 超差|内螺柱轮廓度 0.492 超差|外螺柱轮廓度 5.822 超差|,63.42,,VaporChamber,LeftStation,A117VC,SPC,-5.620,0.340,0.000,-6.026,0.492,5.822,SPC MIN,-5.620,-5.620,0.000,-6.026,0.492,5.821,SPC MAX,-5.281,-5.281,0.000,-6.000,0.492,5.822,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-5.620,0.340,0.000,-6.026,0.492,5.822,SPCMIN,-5.620,-5.620,0.000,-6.026,0.492,5.821,SPCMAX,-5.281,-5.281,0.000,-6.000,0.492,5.822,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-7.930,-7.920,-8.050,-8.059,-7.955,-7.950,-8.027,-8.032,RawDown,3.173,3.126,3.392,3.439,-8.455,-8.473,-8.540,-2.057,-2.582,-2.612,-2.595,-2.085,-8.650,-2.182,-2.641,-2.628,-8.611,-2.155,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,RawDownGT,-0.005,-0.005,-0.005,-0.005,-0.026,-0.005,0.000,-0.005,0.001,0.001,0.001,-0.005,0.001,-0.005,0.001,0.001,0.001,-0.005,
20181103-195029,20181103-195122,NG,上表面轮廓度 -5.624 超差|上表面平行度 0.340 超差|内螺柱轮廓度 0.550 超差|外螺柱轮廓度 6.044 超差|,52.75,,VaporChamber,LeftStation,A117VC,SPC,-5.624,0.340,0.000,-6.017,0.550,6.044,SPC MIN,-5.624,-5.624,0.000,-6.017,0.426,5.737,SPC MAX,-5.285,-5.285,0.000,-5.999,0.550,6.044,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-5.624,0.340,0.000,-6.017,0.550,6.044,SPCMIN,-5.624,-5.624,0.000,-6.017,0.426,5.737,SPCMAX,-5.285,-5.285,0.000,-5.999,0.550,6.044,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-7.938,-7.925,-8.051,-8.064,-7.962,-7.955,-8.030,-8.037,RawDown,3.134,3.040,3.568,3.661,-8.446,-8.466,-8.540,-2.001,-2.584,-2.614,-2.596,-2.057,-8.650,-2.250,-2.642,-2.630,-8.614,-2.195,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,RawDownGT,0.001,0.001,0.001,0.000,-0.015,0.002,0.003,-0.002,0.003,0.003,0.003,-0.003,0.003,-0.002,0.003,0.003,0.003,-0.003,
20181103-195133,20181103-195226,NG,下表面轮廓度 -6.206 超差|,52.58,,VaporChamber,LeftStation,A117VC,SPC,-10.677,0.176,0.005,-6.206,0.009,5.403,SPC MIN,-10.677,-10.638,-0.003,-6.206,-0.098,5.204,SPC MAX,-10.466,-10.462,0.002,-6.035,0.009,5.403,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.677,0.176,0.005,-6.206,0.009,5.403,SPCMIN,-10.677,-10.638,-0.003,-6.206,-0.098,5.204,SPCMAX,-10.466,-10.462,0.002,-6.035,0.009,5.403,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.448,-10.562,-10.514,-10.450,-10.363,-10.486,-10.446,-10.388,RawDown,5.330,5.274,5.477,5.447,-6.095,-6.031,-5.971,0.113,0.097,0.087,0.087,0.075,-5.962,-0.020,0.085,0.098,-5.943,0.027,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.510,2.637,2.463,2.386,2.401,2.531,2.417,2.352,RawDownGT,2.197,2.234,1.910,1.787,2.337,2.436,2.572,2.113,2.684,2.704,2.686,2.130,2.692,2.228,2.730,2.731,2.674,2.220,
20181103-195242,20181103-195335,NG,下表面轮廓度 -6.204 超差|,52.75,,VaporChamber,LeftStation,A117VC,SPC,-10.675,0.174,0.005,-6.204,0.010,5.407,SPC MIN,-10.675,-10.635,-0.003,-6.204,-0.099,5.205,SPC MAX,-10.463,-10.461,0.002,-6.034,0.010,5.407,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.675,0.174,0.005,-6.204,0.010,5.407,SPCMIN,-10.675,-10.635,-0.003,-6.204,-0.099,5.205,SPCMAX,-10.463,-10.461,0.002,-6.034,0.010,5.407,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.448,-10.562,-10.515,-10.451,-10.362,-10.486,-10.446,-10.386,RawDown,5.327,5.273,5.475,5.448,-6.095,-6.033,-5.972,0.113,0.096,0.087,0.086,0.075,-5.963,-0.022,0.084,0.098,-5.943,0.028,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.510,2.638,2.464,2.387,2.400,2.531,2.416,2.350,RawDownGT,2.194,2.233,1.908,1.787,2.337,2.434,2.571,2.113,2.683,2.703,2.685,2.130,2.691,2.226,2.729,2.731,2.674,2.220,
20181103-195335,20181103-195428,NG,下表面轮廓度 -6.209 超差|,52.75,,VaporChamber,LeftStation,A117VC,SPC,-10.681,0.182,0.005,-6.209,0.008,5.406,SPC MIN,-10.681,-10.642,-0.003,-6.209,-0.096,5.207,SPC MAX,-10.464,-10.460,0.002,-6.034,0.008,5.406,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.681,0.182,0.005,-6.209,0.008,5.406,SPCMIN,-10.681,-10.642,-0.003,-6.209,-0.096,5.207,SPCMAX,-10.464,-10.460,0.002,-6.034,0.008,5.406,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.447,-10.563,-10.517,-10.450,-10.361,-10.488,-10.448,-10.387,RawDown,5.330,5.274,5.475,5.447,-6.096,-6.035,-5.972,0.115,0.098,0.089,0.087,0.075,-5.962,-0.019,0.085,0.101,-5.941,0.031,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.509,2.639,2.467,2.386,2.399,2.533,2.418,2.351,RawDownGT,2.197,2.235,1.908,1.786,2.336,2.433,2.570,2.114,2.685,2.705,2.686,2.130,2.691,2.229,2.730,2.734,2.676,2.223,
20181103-195428,20181103-195521,NG,下表面轮廓度 -6.215 超差|,52.78,,VaporChamber,LeftStation,A117VC,SPC,-10.691,0.189,0.004,-6.215,0.005,5.398,SPC MIN,-10.691,-10.652,-0.002,-6.215,-0.097,5.208,SPC MAX,-10.467,-10.462,0.002,-6.033,0.005,5.398,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.691,0.189,0.004,-6.215,0.005,5.398,SPCMIN,-10.691,-10.652,-0.002,-6.215,-0.097,5.208,SPCMAX,-10.467,-10.462,0.002,-6.033,0.005,5.398,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.445,-10.567,-10.524,-10.455,-10.366,-10.491,-10.453,-10.389,RawDown,5.333,5.275,5.471,5.446,-6.096,-6.037,-5.971,0.115,0.100,0.090,0.088,0.074,-5.961,-0.020,0.085,0.102,-5.939,0.033,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.507,2.643,2.473,2.391,2.404,2.536,2.423,2.353,RawDownGT,2.200,2.235,1.904,1.786,2.336,2.431,2.571,2.114,2.687,2.707,2.687,2.129,2.692,2.228,2.730,2.735,2.679,2.226,
20181103-195521,20181103-195616,NG,下表面轮廓度 -6.209 超差|,54.93,,VaporChamber,LeftStation,A117VC,SPC,-10.679,0.182,0.004,-6.209,0.009,5.405,SPC MIN,-10.679,-10.641,-0.003,-6.209,-0.096,5.208,SPC MAX,-10.461,-10.458,0.001,-6.033,0.009,5.405,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.679,0.182,0.004,-6.209,0.009,5.405,SPCMIN,-10.679,-10.641,-0.003,-6.209,-0.096,5.208,SPCMAX,-10.461,-10.458,0.001,-6.033,0.009,5.405,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.442,-10.563,-10.524,-10.447,-10.359,-10.484,-10.447,-10.384,RawDown,5.336,5.276,5.469,5.446,-6.096,-6.036,-5.972,0.117,0.100,0.090,0.087,0.072,-5.961,-0.018,0.087,0.103,-5.937,0.036,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.504,2.638,2.474,2.383,2.397,2.529,2.418,2.347,RawDownGT,2.203,2.237,1.902,1.786,2.336,2.431,2.571,2.117,2.687,2.707,2.686,2.127,2.693,2.230,2.732,2.736,2.680,2.228,
20181103-195616,20181103-195711,NG,下表面轮廓度 -6.207 超差|,54.98,,VaporChamber,LeftStation,A117VC,SPC,-10.678,0.180,0.005,-6.207,0.009,5.407,SPC MIN,-10.678,-10.639,-0.004,-6.207,-0.097,5.206,SPC MAX,-10.463,-10.459,0.002,-6.034,0.009,5.407,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.678,0.180,0.005,-6.207,0.009,5.407,SPCMIN,-10.678,-10.639,-0.004,-6.207,-0.097,5.206,SPCMAX,-10.463,-10.459,0.002,-6.034,0.009,5.407,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.440,-10.563,-10.522,-10.444,-10.356,-10.484,-10.448,-10.384,RawDown,5.337,5.277,5.472,5.449,-6.096,-6.036,-5.971,0.117,0.101,0.091,0.089,0.075,-5.960,-0.016,0.089,0.104,-5.936,0.036,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.502,2.639,2.471,2.380,2.394,2.529,2.418,2.347,RawDownGT,2.204,2.238,1.905,1.789,2.336,2.431,2.571,2.117,2.688,2.707,2.688,2.130,2.693,2.232,2.734,2.737,2.682,2.228,
